round,train_rmse,val_rmse
166,13.049513058768586,18.17676386316906
167,13.039387574074269,18.17955568273955
168,13.033448532145197,18.18268525125673
169,13.024778519111038,18.185173731659688
170,13.019497099856624,18.17485400146013
171,13.011725112976974,18.16153094620196
172,13.007628084056531,18.159075655683463
173,13.001550709071736,18.163423510337903
174,12.995888496523154,18.169080181417762
175,12.989340054135674,18.167219150928528
176,12.984530978513963,18.169631699544283
177,12.979258423359365,18.17571610542699
178,12.97548152104531,18.17364383570282
179,12.97017757392907,18.158198732685666
180,12.965576100585581,18.160397712674385
181,12.960648518355848,18.162274948973238
182,12.953868293981616,18.158187372132037
183,12.949009511607112,18.16128034930115
184,12.943599272845901,18.168072995449624
185,12.940358681530299,18.171482392506853
186,12.93531331079383,18.167206717191355
187,12.930327863061507,18.164137659705787
188,12.926000935144398,18.164217951092525
189,12.921499620362646,18.156184275136116
190,12.911366801956518,18.167687460086647
191,12.90414562764264,18.168665306437372
192,12.898980492655074,18.169284235677516
193,12.895242612483084,18.169794715350022
194,12.890069164734243,18.1678478177822
195,12.885401064748649,18.168198947888115
196,12.880808772733108,18.165779616147834
197,12.875854225036665,18.163143853751837
198,12.87138931803063,18.16167803615418
199,12.866314260046328,18.155728033333958
200,12.862736706792539,18.158073428000257
201,12.857841382787017,18.160288392086887
202,12.85316987167227,18.162193669089667
203,12.849281178260595,18.16195404312013
204,12.84372952691865,18.172740674464297
205,12.839003122748553,18.17135361302296
206,12.834423643180582,18.170006553754583
207,12.830212896802761,18.172764993590736
208,12.826555327060415,18.172741204767448
209,12.822610264435662,18.17094997015396
210,12.818226299559495,18.165606408511405
211,12.81549798801086,18.165956995416796
212,12.80802166378831,18.170882170660906
213,12.803305839756081,18.174451760707406
214,12.798475493480975,18.176124050595533
215,12.793282373877718,18.172865344509823
216,12.789559023234483,18.176453922752653
217,12.78522527722119,18.17464687626326
218,12.779874634815634,18.175481169578383
219,12.7738767295984,18.174349729532636
220,12.769553365461265,18.17709699022434
221,12.763376654183263,18.161454308769056
222,12.760796211329483,18.16246892957757
223,12.754223801012643,18.168838065573905
224,12.750902724178108,18.168220523049897
225,12.7466612571949,18.175769624622028
226,12.742392888604787,18.1759330838535
227,12.737802644647566,18.17504003067448
228,12.734062747546336,18.172492360465966
229,12.730867049023058,18.172078072446457
230,12.72637964340287,18.169708142896965
231,12.722482219196566,18.171214654181288
232,12.71841129751714,18.17893904658631
233,12.71416524807411,18.183986412985817
234,12.710647791284513,18.18361411341096
235,12.706584963827455,18.186518257362213
236,12.70452525991941,18.186488037091873
237,12.7009429216939,18.186572714630874
238,12.694163111885036,18.19326008939242
239,12.689791387836731,18.194956913778803
240,12.68608008636332,18.19472369950614
241,12.680868265487097,18.194466981808564
242,12.677747416510961,18.193956239026424
243,12.671918128437232,18.195363860147268
244,12.667480550312188,18.193053518548165
