round,train_rows,train_rmse_ug_m3,val_rmse_ug_m3
113,68829,13.36800594346859,18.241993365094597
114,68829,13.360641393742023,18.244637398323277
115,68829,13.352542540902649,18.24385555114437
116,68829,13.34486381839445,18.24599051106173
117,68829,13.33719014472481,18.239045381961315
118,68829,13.333228212960062,18.235938084707264
119,68829,13.325700176354763,18.23776664970408
120,68829,13.319524142370156,18.233452760955984
121,68829,13.31372667184911,18.231541647902915
122,68829,13.308019262461707,18.229948498340185
123,68829,13.30013000033946,18.22512089560377
124,68829,13.29428546468289,18.225553508312966
125,68829,13.288313939265818,18.229324017927365
126,68829,13.28268032569221,18.222442019071003
127,68829,13.278356092471922,18.21759221648738
128,68829,13.271902686083626,18.210963536061783
129,68829,13.26609549592437,18.216418151797463
130,68829,13.260586052565262,18.217626975446507
131,68829,13.253759933373717,18.218457715744048
132,68829,13.247508015260548,18.214042622375292
133,68829,13.241693375742708,18.215448536812985
134,68829,13.235062435377133,18.206325270047845
135,68829,13.22621046645525,18.208518482156983
136,68829,13.219527159147434,18.19382083252277
137,68829,13.213921341325875,18.19521970541091
138,68829,13.20888873401362,18.19088365812151
139,68829,13.201932690175427,18.18576610394181
140,68829,13.196377948367818,18.18848368832995
141,68829,13.19015960180133,18.19258449783685
142,68829,13.1841686836679,18.19355491021737
143,68829,13.176405554353492,18.19253203514936
144,68829,13.171689754788028,18.19105487288937
145,68829,13.165278323275778,18.19065400063233
146,68829,13.159059378759869,18.18824397105865
147,68829,13.153261530907262,18.190502706375813
148,68829,13.147519249811838,18.18703768548612
149,68829,13.140730501827033,18.18447974686356
150,68829,13.131348530411028,18.182995859121533
151,68829,13.126438666088251,18.18694184849689
152,68829,13.120830795701725,18.19105512871697
153,68829,13.115205924967585,18.197374779007223
154,68829,13.109584726155532,18.192545322064746
155,68829,13.103959523880224,18.190287948771328
156,68829,13.098690499959435,18.191495542350275
157,68829,13.09271524957525,18.190266132786405
158,68829,13.08739658990652,18.187004406786915
159,68829,13.083288526097938,18.18773980617377
160,68829,13.078470302398827,18.186333612969943
161,68829,13.07307040104031,18.186667523941555
162,68829,13.067771456894867,18.18697145524774
163,68829,13.06400834590713,18.18730091191575
164,68829,13.058896010302606,18.18458689173348
165,68829,13.053088216972467,18.17899613787155
