model,cv_fold,horizon,rmse_ug_m3,mae_ug_m3,r2,bias_ug_m3
SARIMAX,5,17,20.736357496607127,12.33748765252286,0.3241967520499567,-0.0869007493440572
SARIMAX,5,18,20.508036539788463,12.13029663210397,0.3394895059335935,-0.08768792063618487
SARIMAX,5,19,20.27876995659868,11.940481430059558,0.3545887657202781,-0.0845359433009453
SARIMAX,5,20,20.060253741169728,11.77521528323645,0.36884445071944194,-0.0792076140504378
SARIMAX,5,21,19.87526559478962,11.635499801947347,0.38078278505491736,-0.07424859669850635
SARIMAX,5,22,19.755311096942155,11.535390459567479,0.38842161338041115,-0.06908418895736777
SARIMAX,5,23,19.721330829839278,11.460154897444488,0.3906051080473827,-0.06370460895601182
SARIMAX,5,24,19.758599715394336,11.45358168836572,0.3889490973376427,-0.06973374014572506
XGBoost,1,1,4.928227184364659,2.5506800589530614,0.9712370199864582,-0.30756430257369255
XGBoost,1,2,8.018528646208072,4.67664339726662,0.9238541445044156,-0.6327211263433863
XGBoost,1,3,10.393284488300381,6.377970633930523,0.8720855949488635,-0.9977571686149496
XGBoost,1,4,12.44248145553838,7.779565443585104,0.8167287390279108,-1.145045573020574
XGBoost,1,5,14.402507335581394,9.003530313013199,0.754586410192541,-1.2905912920127403
XGBoost,1,6,15.809767902363205,9.957504182840879,0.7044663456742354,-1.5557162282578099
XGBoost,1,7,17.028817897495486,10.626878645471217,0.6570790537358011,-1.789768251140466
XGBoost,1,8,17.963109281075635,11.061580997735902,0.6183756143870827,-2.03249219908047
XGBoost,1,9,18.78990771009653,11.454029788457905,0.5824008871710854,-2.745802185882059
XGBoost,1,10,19.654276962936958,11.907802795446523,0.5430739709359469,-2.978647220885627
XGBoost,1,11,19.91354195607592,12.149553370711184,0.5309207736560717,-2.753001718582813
XGBoost,1,12,20.536136227271374,12.264702548987207,0.501133294697098,-3.494875865815487
XGBoost,1,13,20.676324687591126,12.460928785228631,0.4943561485195962,-2.959974915046939
XGBoost,1,14,20.555359748285447,12.708456084173799,0.5003423768685299,-2.3711924309709427
XGBoost,1,15,20.855928917122338,13.016970376315715,0.48573794600017817,-1.7678201648788785
XGBoost,1,16,20.943726715446267,12.847016605991548,0.4815284619421203,-2.2413022405321112
XGBoost,1,17,21.004651318576638,13.000448829136538,0.47865294330482244,-1.553653289397477
XGBoost,1,18,21.004945457137207,12.864822126238534,0.47879548235966485,-1.7890341316147809
XGBoost,1,19,21.39731492991594,12.962837968020363,0.4591891823603653,-2.565978977409885
XGBoost,1,20,21.322788692172534,13.19813608293595,0.4629545929539516,-1.2076691883049488
XGBoost,1,21,21.49596954683523,13.025986355764347,0.4541487962788441,-2.2191016723560075
XGBoost,1,22,21.694312131152312,13.352511300673727,0.44396396900537227,-1.9563972982290365
XGBoost,1,23,21.709326085914842,13.200576037405947,0.44313090620567075,-2.5567376594296674
XGBoost,1,24,21.47744471757461,13.11939054761243,0.45491516952550304,-1.7817031657082882
XGBoost,2,1,4.745802299774234,2.842691158980466,0.9497359603032676,0.06311966831439784
XGBoost,2,2,7.449210951977117,4.899746850253694,0.8767675283308992,-0.31688771294946755
XGBoost,2,3,9.86695619089331,6.712562546033538,0.7849685127699872,-0.5687207274263227
XGBoost,2,4,11.655470501207214,7.995238047811828,0.7011308342574789,-0.9694621713785722
XGBoost,2,5,13.254199773538684,9.087670394714324,0.6142919055053646,-1.2266975991531903
XGBoost,2,6,14.531777314838173,9.939797571479037,0.5369801114753423,-1.6275821410111924
XGBoost,2,7,15.397905100194748,10.558475825264619,0.48149519733087,-1.8353585594236992
XGBoost,2,8,15.928300786353951,10.898531197446278,0.4461762154096315,-1.9976104183671097
XGBoost,2,9,16.179412103958782,11.01638609289027,0.4294912932670487,-2.1715677204852937
XGBoost,2,10,16.509553276327857,11.169654479723299,0.40680084074977685,-2.498297373129066
XGBoost,2,11,16.418233176511194,11.079065755260286,0.41434283481582546,-2.6065903223003297
XGBoost,2,12,16.635997119400756,11.157683374770532,0.39881032486906853,-2.742856871955931
XGBoost,2,13,16.833104368399475,11.213458418074943,0.38430835538271335,-2.9876646285402884
XGBoost,2,14,17.00120248159105,11.325092487965144,0.371727841767027,-2.841649270309328
XGBoost,2,15,17.010332026022887,11.35485287543905,0.3707654450151616,-2.96374061507841
XGBoost,2,16,17.128709315157668,11.423211548155491,0.36161077955393905,-2.9642619753517097
XGBoost,2,17,16.98872216901667,11.298755070689912,0.3716011222070609,-3.0314744899984842
XGBoost,2,18,16.76047269662326,11.22912278907576,0.3879556008445051,-2.776726770189939
XGBoost,2,19,16.776311584198,11.207603491347054,0.386548452227679,-3.029833667847344
XGBoost,2,20,16.714576107422182,11.19792139113741,0.3909241201628104,-2.76516666334423
XGBoost,2,21,16.658825512170775,11.146286960130327,0.39503709189223046,-2.8215508072969655
XGBoost,2,22,16.478872674677138,11.119542345547702,0.40822902555923335,-2.451014491592007
XGBoost,2,23,16.438778846667816,11.036125530090956,0.4113739884604998,-2.504238542667813
XGBoost,2,24,16.379759609268255,10.984960969646325,0.4159885395945875,-2.5900903896608445
XGBoost,3,1,4.915453918922268,2.7677471639836444,0.9551365357642577,0.1212058663489992
XGBoost,3,2,7.710424950055567,4.78567662781341,0.8892265825346,-0.25840400616896153
XGBoost,3,3,9.897155165477551,6.429146632313688,0.816752225738311,-0.5970729130890078
XGBoost,3,4,11.615098944270997,7.630427241674442,0.746837705841896,-1.1197958610964582
XGBoost,3,5,13.01005996413856,8.577325642462041,0.6818899617737217,-1.4046560537502557
XGBoost,3,6,14.239579705258393,9.267599489837428,0.6186740178417696,-2.186951105652271
XGBoost,3,7,15.105165451677166,9.742220779596888,0.5708059057263376,-2.405283942367091
XGBoost,3,8,15.704027446786787,10.070163175351043,0.5365292218254553,-2.756076377599792
XGBoost,3,9,15.937832989941876,10.120995750985747,0.5234954730846644,-2.8891077812488355
XGBoost,3,10,16.1277589652643,10.201299864977122,0.513169491715907,-2.9995679272166877
XGBoost,3,11,16.20910928967921,10.11884418126471,0.5094421926562487,-3.4514481083730635
XGBoost,3,12,16.17143086923645,10.20977195470886,0.513935778130536,-3.228265223504736
XGBoost,3,13,16.39433946017187,10.317797206687732,0.5038558293837216,-3.381666906536701
XGBoost,3,14,16.827321874530256,10.52043408720843,0.48088219698799517,-3.554337890269118
XGBoost,3,15,16.97580460987507,10.495215646044349,0.47547845996556404,-3.719945250768665
XGBoost,3,16,16.9464058684625,10.548979741681949,0.48102546257629664,-3.6166703001106106
XGBoost,3,17,16.71917960515848,10.425586931438401,0.49692163883751117,-3.6410077494100768
XGBoost,3,18,16.695400593762685,10.38128553844448,0.4993915975895472,-3.3212726617046147
XGBoost,3,19,16.626341472838828,10.334920451898416,0.5040351787260937,-3.4151692323226848
XGBoost,3,20,16.64863905711694,10.366468997938437,0.5030420172787509,-3.181176759890646
XGBoost,3,21,16.73346238579345,10.455838231030556,0.4982013346904419,-3.246101081959845
XGBoost,3,22,16.619702029304094,10.370382327663277,0.5051288872200916,-3.0862005642250274
