round,train_rows,train_rmse_ug_m3,val_rmse_ug_m3
219,68829,12.772713412838408,18.10981192817697
220,68829,12.768659587486054,18.11078181094898
221,68829,12.763551982931611,18.095191642394337
222,68829,12.760098938635206,18.09556249797068
223,68829,12.75556543462841,18.100710426261564
224,68829,12.75242127144062,18.10268160951636
225,68829,12.748491939572414,18.10964833876288
226,68829,12.74465466625899,18.108745790940358
227,68829,12.738867448204662,18.10731503042768
228,68829,12.735257307974962,18.10562843937921
229,68829,12.731554044106284,18.10706991163813
230,68829,12.72737476644016,18.10176894781203
231,68829,12.723748926594867,18.10301944153289
232,68829,12.720719817303015,18.106511406035413
233,68829,12.715390514680063,18.110794808627546
234,68829,12.711206748780349,18.10818064315689
235,68829,12.707480469755115,18.109653359957505
236,68829,12.70431778638454,18.107259388664488
237,68829,12.700010845610796,18.11021471942194
238,68829,12.693749839367262,18.11577905941111
239,68829,12.690466962624768,18.11589554472352
240,68829,12.6872058629912,18.11594467517551
241,68829,12.681879832488011,18.11735017237208
242,68829,12.676997326508786,18.12077681075188
243,68829,12.672718141363925,18.12116233908077
244,68829,12.664873202557215,18.10901717549004
245,68829,12.659571660103111,18.11419606156001
246,68829,12.656382726386427,18.11449073409929
247,68829,12.652577822588876,18.112593562682317
248,68829,12.648182042828104,18.114413367546877
249,68829,12.644565627045584,18.112864867137954
250,68829,12.638487766271576,18.118124862833834
251,68829,12.63639362363317,18.12178137171595
252,68829,12.633656360841751,18.12166552222569
253,68829,12.627281693055066,18.12386976626759
254,68829,12.624420121500869,18.125982216824653
255,68829,12.620780098722124,18.126027187750168
256,68829,12.616061632943092,18.127505527442
257,68829,12.612609337332522,18.12795246059303
258,68829,12.61043403859115,18.12610123133969
259,68829,12.604748135785982,18.12640289921624
260,68829,12.598778547863086,18.135421424940805
261,68829,12.592513835080693,18.13629263729191
262,68829,12.589083790047258,18.1370833328996
263,68829,12.585148801672007,18.138471532538848
264,68829,12.582039366099195,18.139203158319013
265,68829,12.5785418014317,18.136556891117497
266,68829,12.572794545335968,18.14401673277305
